S_No,Speed_Range,Weight,Dead_Alive,Airbag,Seatbelt,Frontal,Sex,Age_of_Occupant,Year_of_Accident,Vehicle_Year,Airbag_Deploy,Occ_Role,Inj_Severity
1,25-39,25.069,alive,No Airbag,Yes,TRUE,Female,26,1997,1990,Unavailable,Driver,3
2, 10-24,25.069,alive,Airbag,Yes,TRUE,Female,72,1997,1995,Deploy,Driver,1
3, 10-24,32.379,alive,No Airbag,No,TRUE,Female,69,1997,1988,Unavailable,Driver,4
4,25-39,495.444,alive,Airbag,Yes,TRUE,Female,53,1997,1995,Deploy,Driver,1
5,25-39,25.069,alive,No Airbag,Yes,TRUE,Female,32,1997,1988,Unavailable,Driver,3
6,40-54,25.069,alive,No Airbag,Yes,TRUE,Female,22,1997,1985,Unavailable,Driver,3
7,55+,27.078,alive,No Airbag,Yes,TRUE,Male,22,1997,1984,Unavailable,Driver,3
8,55+,27.078,dead,No Airbag,No,TRUE,Male,32,1997,1987,Unavailable,Driver,4
9, 10-24,812.869,alive,No Airbag,Yes,FALSE,Male,40,1997,1984,Unavailable,Driver,1
10, 10-24,812.869,alive,No Airbag,Yes,TRUE,Female,18,1997,1987,Unavailable,Driver,0
11, 10-24,812.869,alive,No Airbag,Yes,TRUE,Male,21,1997,1987,Unavailable,Passenger,0
12, 10-24,299.459,alive,No Airbag,Yes,FALSE,Female,69,1997,1982,Unavailable,Driver,1
13, 10-24,923.996,alive,Airbag,Yes,TRUE,Male,67,1997,1991,Deploy,Driver,1
14,25-39,89.627,dead,Airbag,Yes,FALSE,Female,54,1997,1994,NoDeploy,Driver,4
15,25-39,29.081,alive,No Airbag,Yes,FALSE,Female,37,1997,1991,Unavailable,Driver,1
16,25-39,29.081,alive,No Airbag,Yes,TRUE,Male,71,1997,1990,Unavailable,Driver,1
17,25-39,29.081,alive,No Airbag,Yes,TRUE,Female,63,1997,1990,Unavailable,Passenger,3
18, 10-24,58.191,alive,No Airbag,No,FALSE,Female,23,1997,1986,Unavailable,Driver,3
19, 10-24,1156.439,alive,Airbag,Yes,FALSE,Male,33,1997,1995,NoDeploy,Driver,0
20, 10-24,1156.439,alive,Airbag,Yes,FALSE,Male,17,1997,1995,NoDeploy,Passenger,0
21, 10-24,86.2,alive,Airbag,No,TRUE,Female,20,1997,1995,Deploy,Driver,1
22, 10-24,86.2,alive,No Airbag,Yes,FALSE,Female,22,1997,1987,Unavailable,Driver,0
23, 10-24,397.171,alive,No Airbag,No,FALSE,Male,45,1997,1989,Unavailable,Driver,0
24, 10-24,397.171,alive,No Airbag,No,FALSE,Male,36,1997,1989,Unavailable,Passenger,1
25, 10-24,37.099,alive,Airbag,Yes,TRUE,Female,23,1997,1995,Deploy,Driver,1
26, 10-24,79.205,alive,No Airbag,No,TRUE,Female,19,1997,1989,Unavailable,Driver,1
27, 10-24,244.39,alive,No Airbag,Yes,FALSE,Male,26,1997,1986,Unavailable,Driver,0
28, 10-24,244.39,alive,No Airbag,Yes,TRUE,Female,41,1997,1990,Unavailable,Driver,0
29,40-54,26.233,alive,No Airbag,Yes,TRUE,Female,18,1997,1987,Unavailable,Driver,1
30,40-54,26.233,alive,No Airbag,No,TRUE,Male,30,1997,1987,Unavailable,Passenger,3
31, 10-24,241.561,alive,Airbag,Yes,TRUE,Female,26,1997,1992,Deploy,Driver,1
32, 1-9,745.351,alive,No Airbag,Yes,TRUE,Male,16,1997,1988,Unavailable,Driver,0
33, 1-9,745.351,alive,No Airbag,Yes,TRUE,Male,17,1997,1988,Unavailable,Passenger,0
34, 10-24,745.351,alive,Airbag,Yes,FALSE,Male,20,1997,1990,NoDeploy,Driver,0
35, 10-24,745.351,alive,Airbag,Yes,FALSE,Female,17,1997,1990,NoDeploy,Passenger,0
36,25-39,30.148,alive,No Airbag,No,TRUE,Male,32,1997,1993,Unavailable,Driver,3
37,25-39,30.148,alive,Airbag,No,TRUE,Female,19,1997,1993,Deploy,Driver,2
38,25-39,30.148,alive,Airbag,Yes,FALSE,Female,52,1997,1995,NoDeploy,Driver,1
39, 10-24,199.316,alive,No Airbag,Yes,TRUE,Female,64,1997,1992,Unavailable,Driver,2
40, 10-24,199.316,alive,No Airbag,Yes,TRUE,Female,19,1997,1984,Unavailable,Driver,2
41, 10-24,199.316,alive,No Airbag,Yes,TRUE,Male,36,1997,1988,Unavailable,Driver,2
42, 10-24,199.316,alive,Airbag,Yes,FALSE,Male,23,1997,1993,NoDeploy,Driver,1
43,55+,25.069,alive,No Airbag,No,TRUE,Male,76,1997,1984,Unavailable,Driver,3
44, 10-24,206.309,alive,Airbag,Yes,TRUE,Male,32,1997,1995,Deploy,Driver,0
45, 10-24,206.309,alive,No Airbag,Yes,FALSE,Male,21,1997,1987,Unavailable,Driver,1
46, 10-24,206.309,alive,No Airbag,Yes,FALSE,Male,25,1997,1987,Unavailable,Passenger,0
47, 10-24,440.462,alive,Airbag,Yes,FALSE,Female,37,1997,1992,NoDeploy,Driver,1
48, 10-24,440.462,alive,Airbag,No,FALSE,Female,16,1997,1992,NoDeploy,Passenger,0
49, 10-24,105.152,alive,No Airbag,Yes,FALSE,Female,24,1997,1977,Unavailable,Driver,1
50, 10-24,105.152,alive,No Airbag,Yes,TRUE,Male,39,1997,1987,Unavailable,Driver,0
51, 10-24,324.453,alive,No Airbag,Yes,TRUE,Male,18,1997,1985,Unavailable,Driver,0
52,40-54,98.523,alive,No Airbag,Yes,TRUE,Female,64,1997,1991,Unavailable,Driver,3
53,40-54,435.568,alive,No Airbag,Yes,TRUE,Male,22,1997,1984,Unavailable,Driver,1
